creators,date,ia_formats,ia_id,ia_url,ol_id,publisher,text_filename,title,trove_url,version_id,work_id
William Woolls 1814-1893,1867,DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Metadata|DjVuTXT|Djvu XML|Metadata|Metadata|Scandata|Single Page Processed TIFF ZIP,acontributionto00woolgoog,https://archive.org/details/acontributionto00woolgoog,OL23422801M,"F. White; [etc., etc.]",acontributionto00woolgoog_djvu.txt,A Contribution to the Flora of Australia,https://trove.nla.gov.au/version/3506215,3506215,1171050
"Duffy, Charles Gavan Sir 1816-1903",1898,DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Raw Cornell Book Zip|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,cu31924088018142,https://archive.org/details/cu31924088018142,OL6945212M,New York The Macmillan co.,cu31924088018142_djvu.txt,My life in two hemispheres by Sir Charles Gavan Duffy.,https://trove.nla.gov.au/version/49158103,49158103,1171821
"Duffy, Charles Gavan Sir 1816-1903",1898,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,mylifeintwohemis01duffuoft,https://archive.org/details/mylifeintwohemis01duffuoft,OL7050098M,London T. Fisher Unwin,mylifeintwohemis01duffuoft_djvu.txt,My life in two hemispheres.,https://trove.nla.gov.au/version/1271362,1271362,1171821
Albert Frederick Calvert 1872-1946,1895,Scribe Scandata ZIP|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP,westernaustralia00calviala,https://archive.org/details/westernaustralia00calviala,OL7050575M,"London Simpkin, Marshall, Hamilton, Kent",westernaustralia00calviala_djvu.txt,"Western Australia and its welfare. A reproduction of articles which have appeared in the West Australian review, 1893-1894 ...",https://trove.nla.gov.au/version/1273496,1273496,1173743
"W. L. Blamires|Smith, John B.",1886,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,earlystoryofwesl00blam,https://archive.org/details/earlystoryofwesl00blam,OL23296496M,Melbourne Wesleyan Book Depot,earlystoryofwesl00blam_djvu.txt,The early story of the Wesleyan Methodist Church in Victoria by W.L. Blamires and John B. Smith. A jubilee volume.,https://trove.nla.gov.au/version/3259264,3259264,1174805
"W. L. Blamires|Smith, John B.,",1886,Scribe Scandata Zip|DjVu|Animated GIF Images|Text PDF|Abbyy GZ|Archive BitTorrent|Metadata|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|Single Page Processed JPEG ZIP|Metadata|MARC|Metadata|Metadata|Metadata|Single Page Raw JP2 ZIP,victorianmeth00blamuoft,https://archive.org/details/victorianmeth00blamuoft,OL7050879M,Melbourne Wesleyan Book Depot,victorianmeth00blamuoft_djvu.txt,The early story of the Wesleyan Methodist Church in Victoria.,https://trove.nla.gov.au/version/1274722,1274722,1174805
Ferdinand von Mueller 1825-1896,1871,JPEG Thumb|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,forestcultureini00muelrich,https://archive.org/details/forestcultureini00muelrich,OL7055027M,"[Melbourne Mason, Firth, and M'Cutcheon",forestcultureini00muelrich_djvu.txt,"Forest culture in its relation to industrial pursuits. A lecture, delivered by Baron Ferd. von Mueller ... on 22nd June, 1871.",https://trove.nla.gov.au/version/1290414,1290414,1188225
"Albert Burk Wolcott 1869-|Dybas, Henry S",1947,Item Tile|Scribe Scandata ZIP|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Biodiversity Heritage Library METS|Metadata|Grayscale LuraTech PDF|Metadata|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|Metadata|MARC Binary|Metadata|Metadata|Metadata|Metadata|Metadata|Single Page Raw JP2 ZIP,twonewbeetlesfro3118wolc,https://archive.org/details/twonewbeetlesfro3118wolc,OL7056997M,[Chicago],twonewbeetlesfro3118wolc_djvu.txt,"Two new beetles from Costa Rica and Australia with a description of a new genus (Coleoptera, Cleridae) [by] Albert B. Wolcott and Henry S. Dybas.",https://trove.nla.gov.au/version/1297831,1297831,1194700
Robyn Lim 1947-,1981,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,scripturemanualf00stlo,https://archive.org/details/scripturemanualf00stlo,OL3522809M,"[Brisbane, Qld.] Centre for the Study of Australian-Asian Relations, School of Modern Asian Studies, Griffith University",scripturemanualf00stlo_djvu.txt,Perceptions of ASEAN in Australia Robyn Lim.,https://trove.nla.gov.au/version/177756425,177756425,11948098
William D. Brackenridge 1810-1893,1854,DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Biodiversity Heritage Library METS|Metadata|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|Metadata|MARC|Metadata|Metadata|Metadata|Name Metadata|Metadata|Scandata|Metadata|Item Tile,Botany00Brac,https://archive.org/details/Botany00Brac,OL6570930M,Philadelphia Printed by C. Sherman,Botany00Brac_djvu.txt,"Botany. Cryptogamia. Filices, including Lycopodiaceæ and Hydropterides. By William D. Brackenridge.  With a folio atlas of forty-six plates.",https://trove.nla.gov.au/version/209868188,209868188,11968383
Tasma 1848-1897,1800,Item Tile|Scribe Scandata ZIP|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Raw JP2 ZIP,sydneysovereigno00tasmiala,https://archive.org/details/sydneysovereigno00tasmiala,OL7058220M,New York F. F. Lovell,sydneysovereigno00tasmiala_djvu.txt,A Sydney sovereign and other tales by Tasma.,https://trove.nla.gov.au/version/1302795,1302795,1199077
"Mathew, John.",1899,Item Tile|DjVu|Animated GIF|Standard LuraTech PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Scan Factors,eaglehawkcrowstu00math,https://archive.org/details/eaglehawkcrowstu00math,OL13522306M,"London D. Nutt; [etc., etc.]",eaglehawkcrowstu00math_djvu.txt,"Eaglehawk and crow a study of the Australian aborigines, including an inquiry into their origin and a survey of Australian languages by John Mathew.",https://trove.nla.gov.au/version/2336643,2336643,1199556
"Mathew, John.",1899,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|METS|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,eaglehawkcrowstu00mathuoft,https://archive.org/details/eaglehawkcrowstu00mathuoft,OL7058349M,London Nutt,eaglehawkcrowstu00mathuoft_djvu.txt,Eaglehawk and Crow a study of the Australian aborigines including an inquiry into their origin and a survey of Australian languages.,https://trove.nla.gov.au/version/1303321,1303321,1199556
E. J. Banfield 1852-1923,1908,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP|Metadata|Scribe Scandata ZIP,confessionsofbea00banfiala,https://archive.org/details/confessionsofbea00banfiala,OL7060877M,London [etc.] T. F. Unwin,confessionsofbea00banfiala_djvu.txt,The confessions of a beachcomber scenes and incidents in the career of an unprofessional beachcomber in tropical Queensland.,https://trove.nla.gov.au/version/1312899,1312899,1207605
