children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,John Sands (Firm),1869,Book,http://nla.gov.au/nla.obj-570189539,4,,Sands' Sydney directory for 1870 : [publisher's blurb],nla.obj-570189539,https://trove.nla.gov.au/work/10420594,
,New South Wales. Governor,1857,Book,http://nla.gov.au/nla.obj-393040065,6,,"Honorable Gentlemen of the Legislative Council ; and, Gentlemen of the Legislative Assembly : [speech on opening the Parliament of New South Wales for the first session, 1857-1858 / by Sir william Denison]",nla.obj-393040065,https://trove.nla.gov.au/work/10420897,
,"Hovell, W. H. (William Hilton), 1786-1875",1855,Book,http://nla.gov.au/nla.obj-406258094,26,,"Reply to A brief statement of facts in connection with an overland expedition from Lake George to Port Phillip in 1824, published in May last by Hamilton Hume / by William Hilton Hovell",nla.obj-406258094,https://trove.nla.gov.au/work/10421129,
,,1882,Book,http://nla.gov.au/nla.obj-76440445,1,,"[Lutheran Church, Sydney : record for foundation stone of church, 1882]",nla.obj-76440445,https://trove.nla.gov.au/work/10422371,
,"Christie, Connie",1940,Book,http://nla.gov.au/nla.obj-24329508,32,,"Wee one from-- Hans Andersen's ""Thumbelina"" : the story of a fairy child who was no bigger than your thumb / adapted and illustrated by Connie Christie",nla.obj-24329508,https://trove.nla.gov.au/work/10423288,
,,1874,Book,http://nla.gov.au/nla.obj-415977771,4,,Law Society,nla.obj-415977771,https://trove.nla.gov.au/work/10423945,
,"Brady, E. J. (Edwin James), 1869-1952",1911-1922,Book,http://nla.gov.au/nla.obj-4201141,224,,Tom Pagdin pirate / by Edwin J. Brady,nla.obj-4201141,https://trove.nla.gov.au/work/10425119,
,"Elliott, Sizar, 1814-1901",1872-1876,Book,http://nla.gov.au/nla.obj-396558453,22,,On the introduction of local industries into New South Wales / by Sizar Elliot,nla.obj-396558453,https://trove.nla.gov.au/work/10427645,
,"Le Souëf, J. Cecil (John Cecil), 1902-",1900-1999,Book,http://nla.gov.au/nla.obj-22559311,34,,The three k's kingdom : kookaburra kangaroo koala / specially written by Cecil Le Souëf,nla.obj-22559311,https://trove.nla.gov.au/work/10427959,
,Presbyterian Church of Eastern Australia. Synod,1860-1869,Book,http://nla.gov.au/nla.obj-688657353,8,,Documents referred to in the annexed questions and formula,nla.obj-688657353,https://trove.nla.gov.au/work/10430192,
,United Federal Executive,1899,Book,http://nla.gov.au/nla.obj-72888929,2,,"[Letter] 1899 Oct. 9, Town Hall, Sydney / United Federal Executive",nla.obj-72888929,https://trove.nla.gov.au/work/10434696,
,I.A.W. Home Training System,1920-1929,Book,http://nla.gov.au/nla.obj-99042696,1,,The Tell-U-Vision entertainer : the wrestling chart published to create a mind picture and increase your appreciation of the radio broadcasts,nla.obj-99042696,https://trove.nla.gov.au/work/10441191,
,"Maher, J. A. (James Alipius), 1868-1940",1938-2018,Book,http://nla.gov.au/nla.obj-698346,172,,"Kilmore, 1837-1937 : the tale of a century / by J.A. Maher",nla.obj-698346,https://trove.nla.gov.au/work/10466869,
,Australian Medical Council,2003-2016,Digital Publication,http://nla.gov.au/nla.obj-306544275,0,,"Accreditation report : the education and training programs of the Royal Australian and New Zealand College of Obstetricians and Gynaecologists / AMC, Specialist Education Accreditation Committee",nla.obj-306544275,https://trove.nla.gov.au/work/10507670,
,"Thomas, Elaine",1967,Book,http://nla.gov.au/nla.obj-503077851,114,,"Wordlists of Delta Edo : Epie, Engenni, Degema / [by] Elaine Thomas [and] Kay Williamson",nla.obj-503077851,https://trove.nla.gov.au/work/10522535,
,"Shann, E. O. G. (Edward Owen Giblin), 1884-1935",1927,Book,http://nla.gov.au/nla.obj-189331136,43,,The boom of 1890 - and now : a call to Australia to put her house in order lest drought and falling prices for wool and wheat overtake us again / E.O.G. Shann,nla.obj-189331136,https://trove.nla.gov.au/work/10569029,
,"Crichton, David Alexander",1890-1899,Book,http://nla.gov.au/nla.obj-6136428,25,,"The history, uses, and culture of the orange, and other species of the citrus family / by David A. Crichton",nla.obj-6136428,https://trove.nla.gov.au/work/10569532,
,"Smith, Rose",1889,Book,http://nla.gov.au/nla.obj-189335038,55,,"Second prize essay on the ""Early history of Williamstown"" / by Rose Smith",nla.obj-189335038,https://trove.nla.gov.au/work/10586310,
,Australian Vice-Chancellors' Committee,1952,Book,http://nla.gov.au/nla.obj-14425612,28,,A crisis in the finances and development of the Australian universities / prepared by the Australian Vice-Chancellors' Committee,nla.obj-14425612,https://trove.nla.gov.au/work/10602735,
,Australia,1914-1915,Book,http://nla.gov.au/nla.obj-38369983,15,,"War Precautions Act, 1914 and War Precautions Regulations, 1914 / Commonwealth of Australia",nla.obj-38369983,https://trove.nla.gov.au/work/10609188,
,"Malaspina, Alessandro, 1754-1809",1885-1981,Book,http://nla.gov.au/nla.obj-33647605,3,,Viaje político-científico alrededor del mundo por las corbetas Descubierta y Atrevida al mando de los capitanes de navio d. Alejandro Malaspina y don José de Bustamante y Guerra desde 1789 à 1794 / publicado con una introducción por don Pedro de Novo y Colson ... ..,nla.obj-33647605,https://trove.nla.gov.au/work/10642065,
,,1928,Book,http://nla.gov.au/nla.obj-520856960,16,,"Shura Cherkassky : Town Hall, Sydney",nla.obj-520856960,https://trove.nla.gov.au/work/10642102,
